,Unnamed: 0,created_at,author_id,id,text,casefolding,tokenizing,tokens_fdist,tweet_tokens_WSW,tweet_tokens_stemmed
0,0,2022-04-12T07:36:24.000Z,1208623711311421441,1513783073930100741,"@democrazymedia Percayalah pung ,aroganmu akan ada balasannya,Jokowi memang tidak terdata korupsi tapi aparaturnya juara,ini era Jokowi pung bukan di era SBY🙏.","@democrazymedia percayalah pung ,aroganmu akan ada balasannya,jokowi memang tidak terdata korupsi tapi aparaturnya juara,ini era jokowi pung bukan di era sby🙏.","['percayalah', 'pung', 'aroganmu', 'akan', 'ada', 'balasannyajokowi', 'memang', 'tidak', 'terdata', 'korupsi', 'tapi', 'aparaturnya', 'juaraini', 'era', 'jokowi', 'pung', 'bukan', 'di', 'era', 'sby']",<FreqDist with 18 samples and 20 outcomes>,"['percayalah', 'aroganmu', 'balasannyajokowi', 'terdata', 'korupsi', 'aparaturnya', 'juaraini', 'era', 'jokowi', 'era', 'sby']","['percaya', 'arogan', 'balasannyajokowi', 'data', 'korupsi', 'aparatur', 'juaraini', 'era', 'jokowi', 'era', 'sby']"
1,1,2022-04-12T07:36:04.000Z,1484365795853762560,1513782992703213571,@ariandi6031 Jokowi juga disebut senang melihat sudah,@ariandi6031 jokowi juga disebut senang melihat sudah,"['jokowi', 'juga', 'disebut', 'senang', 'melihat', 'sudah']",<FreqDist with 6 samples and 6 outcomes>,"['jokowi', 'senang']","['jokowi', 'senang']"
2,2,2022-04-12T07:35:59.000Z,1485483913728630784,1513782970066554883,@ariandi6031 menyebut Presiden Joko Widodo (Jokowi),@ariandi6031 menyebut presiden joko widodo (jokowi),"['menyebut', 'presiden', 'joko', 'widodo', 'jokowi']",<FreqDist with 5 samples and 5 outcomes>,"['menyebut', 'presiden', 'joko', 'widodo', 'jokowi']","['sebut', 'presiden', 'joko', 'widodo', 'jokowi']"
3,3,2022-04-12T07:35:58.000Z,1100628763065217024,1513782965364408320,@PartaiSocmed @jokowi Memaksakan proyek mercusuar disaat terjadi krisis. Hmm kok mirip hari2 terakhirnya Soekarno ya 🤔,@partaisocmed @jokowi memaksakan proyek mercusuar disaat terjadi krisis. hmm kok mirip hari2 terakhirnya soekarno ya 🤔,"['memaksakan', 'proyek', 'mercusuar', 'disaat', 'terjadi', 'krisis', 'hmm', 'kok', 'mirip', 'hari', 'terakhirnya', 'soekarno', 'ya']",<FreqDist with 13 samples and 13 outcomes>,"['memaksakan', 'proyek', 'mercusuar', 'disaat', 'krisis', 'hmm', 'terakhirnya', 'soekarno']","['paksa', 'proyek', 'mercusuar', 'saat', 'krisis', 'hmm', 'akhir', 'soekarno']"
4,4,2022-04-12T07:35:52.000Z,1499073498483884033,1513782940479602691,Siap dukung Pembangunan IKN #IKN #Jokowi #Indonesia https://t.co/kIa7uokMWw,siap dukung pembangunan ikn #ikn #jokowi #indonesia https://t.co/kia7uokmww,"['siap', 'dukung', 'pembangunan', 'ikn']",<FreqDist with 4 samples and 4 outcomes>,"['dukung', 'pembangunan', 'ikn']","['dukung', 'bangun', 'ikn']"
5,5,2022-04-12T07:35:49.000Z,570130322,1513782927045591047,@AAPurba1 Gak ada yg mau turunkan itu. Sebodoh2nya org mana mau oak jokowi turun. Hehehhr..... provokasi nih ye.,@aapurba1 gak ada yg mau turunkan itu. sebodoh2nya org mana mau oak jokowi turun. hehehhr..... provokasi nih ye.,"['gak', 'ada', 'yg', 'mau', 'turunkan', 'itu', 'sebodohnya', 'org', 'mana', 'mau', 'oak', 'jokowi', 'turun', 'hehehhr', 'provokasi', 'nih', 'ye']",<FreqDist with 16 samples and 17 outcomes>,"['turunkan', 'sebodohnya', 'org', 'oak', 'jokowi', 'turun', 'hehehhr', 'provokasi', 'ye']","['turun', 'bodoh', 'org', 'oak', 'jokowi', 'turun', 'hehehhr', 'provokasi', 'ye']"
6,6,2022-04-12T07:35:47.000Z,1190358136604872704,1513782921911758854,"@RadarKorupsi @jokowi Yg ngomong menteri2 utama senior dia, yg dukung partai koalisi dia, yg bikin ulah kepala2 desa se Indonesia yg dia undang k Jkt, yg mewacanakan orang2 dia, terus giliran memanas yg d salahkan rakyat n masyarakat yg demo dia.. 

Negara lucu syekali. Terus msh aj ada yg bela dia..","@radarkorupsi @jokowi yg ngomong menteri2 utama senior dia, yg dukung partai koalisi dia, yg bikin ulah kepala2 desa se indonesia yg dia undang k jkt, yg mewacanakan orang2 dia, terus giliran memanas yg d salahkan rakyat n masyarakat yg demo dia.. 

negara lucu syekali. terus msh aj ada yg bela dia..","['yg', 'ngomong', 'menteri', 'utama', 'senior', 'dia', 'yg', 'dukung', 'partai', 'koalisi', 'dia', 'yg', 'bikin', 'ulah', 'kepala', 'desa', 'se', 'indonesia', 'yg', 'dia', 'undang', 'jkt', 'yg', 'mewacanakan', 'orang', 'dia', 'terus', 'giliran', 'memanas', 'yg', 'salahkan', 'rakyat', 'masyarakat', 'yg', 'demo', 'dia', 'negara', 'lucu', 'syekali', 'terus', 'msh', 'aj', 'ada', 'yg', 'bela', 'dia']",<FreqDist with 33 samples and 46 outcomes>,"['ngomong', 'menteri', 'utama', 'senior', 'dukung', 'partai', 'koalisi', 'ulah', 'kepala', 'desa', 'indonesia', 'undang', 'jkt', 'mewacanakan', 'orang', 'giliran', 'memanas', 'salahkan', 'rakyat', 'masyarakat', 'demo', 'negara', 'lucu', 'syekali', 'msh', 'aj', 'bela']","['ngomong', 'menteri', 'utama', 'senior', 'dukung', 'partai', 'koalisi', 'ulah', 'kepala', 'desa', 'indonesia', 'undang', 'jkt', 'wacana', 'orang', 'gilir', 'panas', 'salah', 'rakyat', 'masyarakat', 'demo', 'negara', 'lucu', 'syekali', 'msh', 'aj', 'bela']"
7,7,2022-04-12T07:35:46.000Z,1326215588532809728,1513782916597579781,"@jokowi @DPR_RI @mprgoid @DivHumas_Polri  Pemerintah harus tegas untuk memajukan suatu negara, diperlukan kedisiplinan dan ketegasan. Jangan sampai pemerintah hilang wibawa terhadap apapun, karena itu celah suatu negara yg dianggap lemah.
#BersamaPastiBisa","@jokowi @dpr_ri @mprgoid @divhumas_polri  pemerintah harus tegas untuk memajukan suatu negara, diperlukan kedisiplinan dan ketegasan. jangan sampai pemerintah hilang wibawa terhadap apapun, karena itu celah suatu negara yg dianggap lemah.
#bersamapastibisa","['ri', 'polri', 'pemerintah', 'harus', 'tegas', 'untuk', 'memajukan', 'suatu', 'negara', 'diperlukan', 'kedisiplinan', 'dan', 'ketegasan', 'jangan', 'sampai', 'pemerintah', 'hilang', 'wibawa', 'terhadap', 'apapun', 'karena', 'itu', 'celah', 'suatu', 'negara', 'yg', 'dianggap', 'lemah']",<FreqDist with 25 samples and 28 outcomes>,"['ri', 'polri', 'pemerintah', 'memajukan', 'negara', 'kedisiplinan', 'ketegasan', 'pemerintah', 'hilang', 'wibawa', 'apapun', 'celah', 'negara', 'dianggap', 'lemah']","['ri', 'polri', 'perintah', 'maju', 'negara', 'disiplin', 'tegas', 'perintah', 'hilang', 'wibawa', 'apa', 'celah', 'negara', 'anggap', 'lemah']"
8,8,2022-04-12T07:35:46.000Z,1305651550497382400,1513782915901292549,@hasyim_arbi @Ayah_angga_ Kamu bego emang nya selama ada Jokowi Indonesia maju?gk lh,@hasyim_arbi @ayah_angga_ kamu bego emang nya selama ada jokowi indonesia maju?gk lh,"['arbi', 'angga', 'kamu', 'bego', 'emang', 'nya', 'selama', 'ada', 'jokowi', 'indonesia', 'majugk', 'lh']",<FreqDist with 12 samples and 12 outcomes>,"['arbi', 'angga', 'bego', 'emang', 'jokowi', 'indonesia', 'majugk', 'lh']","['arbi', 'angga', 'bego', 'emang', 'jokowi', 'indonesia', 'majugk', 'lh']"
9,9,2022-04-12T07:35:42.000Z,18129942,1513782900877295620,Jokowi resmi melantik 7 anggota Komisi Pemilihan Umum (KPU) dan 5 anggota Badan Pengawas Pemilu (Bawaslu) periode 2022-2027. #TempoNasional https://t.co/NocBEhPlcr,jokowi resmi melantik 7 anggota komisi pemilihan umum (kpu) dan 5 anggota badan pengawas pemilu (bawaslu) periode 2022-2027. #temponasional https://t.co/nocbehplcr,"['jokowi', 'resmi', 'melantik', 'anggota', 'komisi', 'pemilihan', 'umum', 'kpu', 'dan', 'anggota', 'badan', 'pengawas', 'pemilu', 'bawaslu', 'periode']",<FreqDist with 14 samples and 15 outcomes>,"['jokowi', 'resmi', 'melantik', 'anggota', 'komisi', 'pemilihan', 'kpu', 'anggota', 'badan', 'pengawas', 'pemilu', 'bawaslu', 'periode']","['jokowi', 'resmi', 'lantik', 'anggota', 'komisi', 'pilih', 'kpu', 'anggota', 'badan', 'awas', 'milu', 'bawaslu', 'periode']"
10,10,2022-04-12T07:35:41.000Z,1310287386811625472,1513782892857823234,@TalimbungThomas @ChusnulCh__ @jokowi @mohmahfudmd @ListyoSigitP Kadrun gk pernah membantai para jendral.,@talimbungthomas @chusnulch__ @jokowi @mohmahfudmd @listyosigitp kadrun gk pernah membantai para jendral.,"['kadrun', 'gk', 'pernah', 'membantai', 'para', 'jendral']",<FreqDist with 6 samples and 6 outcomes>,"['kadrun', 'gk', 'membantai', 'jendral']","['kadrun', 'gk', 'bantai', 'jendral']"
11,11,2022-04-12T07:35:36.000Z,817543418,1513782872179875843,"Pak Jokowi simpan kontak pak Luhut pakai nama apa ya? Bang Luhut? Ketua Luhut? Atau, HarusCepatdiBalas?","pak jokowi simpan kontak pak luhut pakai nama apa ya? bang luhut? ketua luhut? atau, haruscepatdibalas?","['pak', 'jokowi', 'simpan', 'kontak', 'pak', 'luhut', 'pakai', 'nama', 'apa', 'ya', 'bang', 'luhut', 'ketua', 'luhut', 'atau', 'haruscepatdibalas']",<FreqDist with 13 samples and 16 outcomes>,"['jokowi', 'simpan', 'kontak', 'luhut', 'pakai', 'nama', 'bang', 'luhut', 'ketua', 'luhut', 'haruscepatdibalas']","['jokowi', 'simpan', 'kontak', 'luhut', 'pakai', 'nama', 'bang', 'luhut', 'ketua', 'luhut', 'haruscepatdibalas']"
12,12,2022-04-12T07:35:31.000Z,952820028839088128,1513782851677810693,CC @Puspen_TNI @tni_ad @_TNIAU Monggo utk Pak presiden @jokowi @KemensetnegRI ini ada istri oknum TNI..👇👇 https://t.co/A9lV6A4SWp,cc @puspen_tni @tni_ad @_tniau monggo utk pak presiden @jokowi @kemensetnegri ini ada istri oknum tni..👇👇 https://t.co/a9lv6a4swp,"['cc', 'tni', 'ad', 'tniau', 'monggo', 'utk', 'pak', 'presiden', 'ini', 'ada', 'istri', 'oknum', 'tni']",<FreqDist with 12 samples and 13 outcomes>,"['cc', 'tni', 'ad', 'tniau', 'monggo', 'presiden', 'istri', 'oknum', 'tni']","['cc', 'tni', 'ad', 'tniau', 'monggo', 'presiden', 'istri', 'oknum', 'tni']"
13,13,2022-04-12T07:35:22.000Z,1289557085688983552,1513782815204147200,@CNNIndonesia Kami turut bergembira bersama pak Jokowi 👍😄 https://t.co/4bYSMpKanh,@cnnindonesia kami turut bergembira bersama pak jokowi 👍😄 https://t.co/4bysmpkanh,"['kami', 'turut', 'bergembira', 'bersama', 'pak', 'jokowi']",<FreqDist with 6 samples and 6 outcomes>,"['bergembira', 'jokowi']","['gembira', 'jokowi']"
14,14,2022-04-12T07:35:22.000Z,1345296547341168640,1513782813438349313,"Presiden Jokowi Serahkan Zakat kepada Baznas 

 https://t.co/3oNIXzczfU","presiden jokowi serahkan zakat kepada baznas 

 https://t.co/3onixzczfu","['presiden', 'jokowi', 'serahkan', 'zakat', 'kepada', 'baznas']",<FreqDist with 6 samples and 6 outcomes>,"['presiden', 'jokowi', 'serahkan', 'zakat', 'baznas']","['presiden', 'jokowi', 'serah', 'zakat', 'baznas']"
15,15,2022-04-12T07:35:22.000Z,1005669152,1513782813425868801,@Fahrihamzah Kemarin bilang jokowi menang lebih baik,@fahrihamzah kemarin bilang jokowi menang lebih baik,"['kemarin', 'bilang', 'jokowi', 'menang', 'lebih', 'baik']",<FreqDist with 6 samples and 6 outcomes>,"['kemarin', 'jokowi', 'menang']","['kemarin', 'jokowi', 'menang']"
16,16,2022-04-12T07:35:19.000Z,811066196170637312,1513782801715195910,"Hai, Aku membagikan wisata dari aplikasi Desa Wisata Nusantara
https://t.co/kiLMSGZCYl
#DesaWisataNusantara
@jokowi 
@halimiskandarnu
@Kemendespdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@yusradaridesa
@Pusat_PPMD
@tppkemendes
@tppi_p3mdbkl
@tppbenteng
@sonymekson https://t.co/LixWQwDh9B","hai, aku membagikan wisata dari aplikasi desa wisata nusantara
https://t.co/kilmsgzcyl
#desawisatanusantara
@jokowi 
@halimiskandarnu
@kemendespdtt
@malik_haramain
@imansyukri
@taufikmadjid71
@yusradaridesa
@pusat_ppmd
@tppkemendes
@tppi_p3mdbkl
@tppbenteng
@sonymekson https://t.co/lixwqwdh9b","['hai', 'aku', 'membagikan', 'wisata', 'dari', 'aplikasi', 'desa', 'wisata', 'nusantara', 'haramain', 'ppmd', 'pmdbkl']",<FreqDist with 11 samples and 12 outcomes>,"['hai', 'membagikan', 'wisata', 'aplikasi', 'desa', 'wisata', 'nusantara', 'haramain', 'ppmd', 'pmdbkl']","['hai', 'bagi', 'wisata', 'aplikasi', 'desa', 'wisata', 'nusantara', 'haramain', 'ppmd', 'pmdbkl']"
17,17,2022-04-12T07:35:19.000Z,1403878890552975360,1513782801522638848,"@setkabgoid @rief_ww_apg @jokowi Alhamdulillah pak jkw sehat2, kirain presidennya udah ganti","@setkabgoid @rief_ww_apg @jokowi alhamdulillah pak jkw sehat2, kirain presidennya udah ganti","['wwapg', 'alhamdulillah', 'pak', 'jkw', 'sehat', 'kirain', 'presidennya', 'udah', 'ganti']",<FreqDist with 9 samples and 9 outcomes>,"['wwapg', 'alhamdulillah', 'jkw', 'sehat', 'kirain', 'presidennya', 'udah', 'ganti']","['wwapg', 'alhamdulillah', 'jkw', 'sehat', 'kirain', 'presiden', 'udah', 'ganti']"
18,18,2022-04-12T07:35:18.000Z,2392460208,1513782797215105025,DUKUNGAN BERDATANGAN! Seknas Jokowi Minta Polisi Usut Tunas Pengeroyokan... https://t.co/fupkvUgAFb,dukungan berdatangan! seknas jokowi minta polisi usut tunas pengeroyokan... https://t.co/fupkvugafb,"['dukungan', 'berdatangan', 'seknas', 'jokowi', 'minta', 'polisi', 'usut', 'tunas', 'pengeroyokan']",<FreqDist with 9 samples and 9 outcomes>,"['dukungan', 'seknas', 'jokowi', 'polisi', 'usut', 'tunas', 'pengeroyokan']","['dukung', 'seknas', 'jokowi', 'polisi', 'usut', 'tunas', 'keroyok']"
19,19,2022-04-12T07:35:03.000Z,1186946650595418116,1513782733520408579,"VIDEO: Serahkan Zakat di Istana, Jokowi Ingatkan Pejabat Bayar Kewajiban Zakat Lewat Baznas https://t.co/htKtJifacR","video: serahkan zakat di istana, jokowi ingatkan pejabat bayar kewajiban zakat lewat baznas https://t.co/htktjifacr","['video', 'serahkan', 'zakat', 'di', 'istana', 'jokowi', 'ingatkan', 'pejabat', 'bayar', 'kewajiban', 'zakat', 'lewat', 'baznas']",<FreqDist with 12 samples and 13 outcomes>,"['video', 'serahkan', 'zakat', 'istana', 'jokowi', 'ingatkan', 'pejabat', 'bayar', 'kewajiban', 'zakat', 'baznas']","['video', 'serah', 'zakat', 'istana', 'jokowi', 'ingat', 'jabat', 'bayar', 'wajib', 'zakat', 'baznas']"
20,20,2022-04-12T07:34:59.000Z,1499012286303727618,1513782718156644353,"@jokowi Loh pak ....
Di luar sana lagi demo pak....
Nyari in bapak......","@jokowi loh pak ....
di luar sana lagi demo pak....
nyari in bapak......","['loh', 'pak', 'di', 'luar', 'sana', 'lagi', 'demo', 'pak', 'nyari', 'in', 'bapak']",<FreqDist with 10 samples and 11 outcomes>,"['demo', 'nyari', 'in']","['demo', 'nyari', 'in']"
21,21,2022-04-12T07:34:48.000Z,836061515513896960,1513782672686198786,"7 Komplotan Produsen Hoaxs PARASIT DI BUMI PERTIWI

Waspadai Gerakan Mereka , Petakan dan BASMI

CC. @Kepolisian_RI @mohmahfudmd @PolhukamRI @Kemhan_RI @Puspen_TNI @Kemenkumham_RI 

Dan Yang Mulia Mr President Of The Great Indonesia ! Mr @jokowi https://t.co/V6TOMCGBYB","7 komplotan produsen hoaxs parasit di bumi pertiwi

waspadai gerakan mereka , petakan dan basmi

cc. @kepolisian_ri @mohmahfudmd @polhukamri @kemhan_ri @puspen_tni @kemenkumham_ri 

dan yang mulia mr president of the great indonesia ! mr @jokowi https://t.co/v6tomcgbyb","['komplotan', 'produsen', 'hoaxs', 'parasit', 'di', 'bumi', 'pertiwi', 'waspadai', 'gerakan', 'mereka', 'petakan', 'dan', 'basmi', 'cc', 'ri', 'ri', 'tni', 'ri', 'dan', 'yang', 'mulia', 'mr', 'president', 'of', 'the', 'great', 'indonesia', 'mr']",<FreqDist with 24 samples and 28 outcomes>,"['komplotan', 'produsen', 'hoaxs', 'parasit', 'bumi', 'pertiwi', 'waspadai', 'gerakan', 'petakan', 'basmi', 'cc', 'ri', 'ri', 'tni', 'ri', 'mulia', 'mr', 'president', 'of', 'the', 'great', 'indonesia', 'mr']","['komplot', 'produsen', 'hoaxs', 'parasit', 'bumi', 'pertiwi', 'waspada', 'gera', 'peta', 'basmi', 'cc', 'ri', 'ri', 'tni', 'ri', 'mulia', 'mr', 'president', 'of', 'the', 'great', 'indonesia', 'mr']"
22,22,2022-04-12T07:34:33.000Z,384163908,1513782608542732288,"Penanggulangan jawab setiap demo harus jelas IDnya begitu juga koorlap nya. Jika terjadi anarkis dan adanya korban di TKP demo, mereka harus bertanggung jawab penuh atas pengobatan dan kerusakan lain yg diakibatkan olehnya scr materil dan immateril.
@jokowi @ListyoSigitP @_TNIAD","penanggulangan jawab setiap demo harus jelas idnya begitu juga koorlap nya. jika terjadi anarkis dan adanya korban di tkp demo, mereka harus bertanggung jawab penuh atas pengobatan dan kerusakan lain yg diakibatkan olehnya scr materil dan immateril.
@jokowi @listyosigitp @_tniad","['penanggulangan', 'jawab', 'setiap', 'demo', 'harus', 'jelas', 'idnya', 'begitu', 'juga', 'koorlap', 'nya', 'jika', 'terjadi', 'anarkis', 'dan', 'adanya', 'korban', 'di', 'tkp', 'demo', 'mereka', 'harus', 'bertanggung', 'jawab', 'penuh', 'atas', 'pengobatan', 'dan', 'kerusakan', 'lain', 'yg', 'diakibatkan', 'olehnya', 'scr', 'materil', 'dan', 'immateril', 'tniad']",<FreqDist with 33 samples and 38 outcomes>,"['penanggulangan', 'demo', 'idnya', 'koorlap', 'anarkis', 'korban', 'tkp', 'demo', 'bertanggung', 'penuh', 'pengobatan', 'kerusakan', 'diakibatkan', 'scr', 'materil', 'immateril', 'tniad']","['tanggulang', 'demo', 'idnya', 'koorlap', 'anarkis', 'korban', 'tkp', 'demo', 'tanggung', 'penuh', 'obat', 'rusa', 'akibat', 'scr', 'materil', 'immateril', 'tniad']"
23,23,2022-04-12T07:34:25.000Z,954015449984811010,1513782574744698882,"#SahabatBawaslu Presiden Republik Indonesia Joko Widodo (Jokowi) melantik lima pimpinan Bawaslu Periode 2022-2027 di Istana Negara Jakarta, Selasa (12/4/2022).

Selamat mengemban amanah dalam mengawal demokrasi Indonesia

#PimpinanBaruBawaslu
#BawasluBaru
#BawasluMengawasi https://t.co/PXvzDXrx6J","#sahabatbawaslu presiden republik indonesia joko widodo (jokowi) melantik lima pimpinan bawaslu periode 2022-2027 di istana negara jakarta, selasa (12/4/2022).

selamat mengemban amanah dalam mengawal demokrasi indonesia

#pimpinanbarubawaslu
#bawaslubaru
#bawaslumengawasi https://t.co/pxvzdxrx6j","['presiden', 'republik', 'indonesia', 'joko', 'widodo', 'jokowi', 'melantik', 'lima', 'pimpinan', 'bawaslu', 'periode', 'di', 'istana', 'negara', 'jakarta', 'selasa', 'selamat', 'mengemban', 'amanah', 'dalam', 'mengawal', 'demokrasi', 'indonesia']",<FreqDist with 22 samples and 23 outcomes>,"['presiden', 'republik', 'indonesia', 'joko', 'widodo', 'jokowi', 'melantik', 'pimpinan', 'bawaslu', 'periode', 'istana', 'negara', 'jakarta', 'selasa', 'selamat', 'mengemban', 'amanah', 'mengawal', 'demokrasi', 'indonesia']","['presiden', 'republik', 'indonesia', 'joko', 'widodo', 'jokowi', 'lantik', 'pimpin', 'bawaslu', 'periode', 'istana', 'negara', 'jakarta', 'selasa', 'selamat', 'emban', 'amanah', 'awal', 'demokrasi', 'indonesia']"
24,24,2022-04-12T07:34:24.000Z,136476619,1513782572479832067,AMJM Minta Jangan Terkecoh Stetmen Presiden Jokowi https://t.co/GdRTNklU5Y,amjm minta jangan terkecoh stetmen presiden jokowi https://t.co/gdrtnklu5y,"['amjm', 'minta', 'jangan', 'terkecoh', 'stetmen', 'presiden', 'jokowi']",<FreqDist with 7 samples and 7 outcomes>,"['amjm', 'terkecoh', 'stetmen', 'presiden', 'jokowi']","['amjm', 'kecoh', 'stetmen', 'presiden', 'jokowi']"
25,25,2022-04-12T07:34:24.000Z,349358100,1513782571334778880,"BEM UI mengunggah video meme Presiden Jokowi dengan menyematkan tulisan 'Menuju Indonesia Mundur', sebagai cerminan berbagai isu yang tengah terjadi. #CNNIndonesia #detikNetwork  https://t.co/Wj42ZIGiZ3","bem ui mengunggah video meme presiden jokowi dengan menyematkan tulisan 'menuju indonesia mundur', sebagai cerminan berbagai isu yang tengah terjadi. #cnnindonesia #detiknetwork  https://t.co/wj42zigiz3","['bem', 'ui', 'mengunggah', 'video', 'meme', 'presiden', 'jokowi', 'dengan', 'menyematkan', 'tulisan', 'menuju', 'indonesia', 'mundur', 'sebagai', 'cerminan', 'berbagai', 'isu', 'yang', 'tengah', 'terjadi']",<FreqDist with 20 samples and 20 outcomes>,"['bem', 'ui', 'mengunggah', 'video', 'meme', 'presiden', 'jokowi', 'menyematkan', 'tulisan', 'indonesia', 'mundur', 'cerminan', 'isu']","['bem', 'ui', 'unggah', 'video', 'meme', 'presiden', 'jokowi', 'semat', 'tulis', 'indonesia', 'mundur', 'cermin', 'isu']"
26,26,2022-04-12T07:34:24.000Z,1369573838007062535,1513782570659778563,"@arifbsantoso @mbahndi @rezagunawan @kemenhub151 @kemendagri @satgascovid19id @PerekonomianRI @erickthohir @jokowi @PNS_Ababil @KemenkesRI coba lu di posisi toke yg udah terlanjur impor masker,reagen,vaksin dlm skala besar..dapettinnya pun berdarah2..duit super gede terlanjur keluar..
yg ngasih influence bisnis pasti deg2an kan dimaki2 si toke kalo sampe gagal ROI+laba","@arifbsantoso @mbahndi @rezagunawan @kemenhub151 @kemendagri @satgascovid19id @perekonomianri @erickthohir @jokowi @pns_ababil @kemenkesri coba lu di posisi toke yg udah terlanjur impor masker,reagen,vaksin dlm skala besar..dapettinnya pun berdarah2..duit super gede terlanjur keluar..
yg ngasih influence bisnis pasti deg2an kan dimaki2 si toke kalo sampe gagal roi+laba","['ababil', 'coba', 'lu', 'di', 'posisi', 'toke', 'yg', 'udah', 'terlanjur', 'impor', 'maskerreagenvaksin', 'dlm', 'skala', 'besardapettinnya', 'pun', 'berdarahduit', 'super', 'gede', 'terlanjur', 'keluar', 'yg', 'ngasih', 'influence', 'bisnis', 'pasti', 'degan', 'kan', 'dimaki', 'si', 'toke', 'kalo', 'sampe', 'gagal', 'roilaba']",<FreqDist with 31 samples and 34 outcomes>,"['ababil', 'coba', 'lu', 'posisi', 'toke', 'udah', 'terlanjur', 'impor', 'maskerreagenvaksin', 'dlm', 'skala', 'besardapettinnya', 'berdarahduit', 'super', 'gede', 'terlanjur', 'ngasih', 'influence', 'bisnis', 'degan', 'dimaki', 'toke', 'sampe', 'gagal', 'roilaba']","['ababil', 'coba', 'lu', 'posisi', 'toke', 'udah', 'lanjur', 'impor', 'maskerreagenvaksin', 'dlm', 'skala', 'besardapettinnya', 'berdarahduit', 'super', 'gede', 'lanjur', 'ngasih', 'influence', 'bisnis', 'degan', 'maki', 'toke', 'sampe', 'gagal', 'roilaba']"
27,27,2022-04-12T07:34:23.000Z,3827798354,1513782567639859201,"@hyang_wisnu @kemkominfo @PlateJohnny @jokowi @setkabgoid @Aryprasetyo85 @zhekoes @sangamei @D_N4bil5 @Urrangawak @soen_cak @DS_yantie @03__nakula Delegasi negara anggota G20 mengusulkan untuk mempertimbangkan aspek di luar teknis teknologi informasi dan komunikasi dalam isu ini.
@kemkominfo @PlateJohnny","@hyang_wisnu @kemkominfo @platejohnny @jokowi @setkabgoid @aryprasetyo85 @zhekoes @sangamei @d_n4bil5 @urrangawak @soen_cak @ds_yantie @03__nakula delegasi negara anggota g20 mengusulkan untuk mempertimbangkan aspek di luar teknis teknologi informasi dan komunikasi dalam isu ini.
@kemkominfo @platejohnny","['wisnu', 'nbil', 'cak', 'yantie', 'nakula', 'delegasi', 'negara', 'anggota', 'mengusulkan', 'untuk', 'mempertimbangkan', 'aspek', 'di', 'luar', 'teknis', 'teknologi', 'informasi', 'dan', 'komunikasi', 'dalam', 'isu', 'ini']",<FreqDist with 22 samples and 22 outcomes>,"['wisnu', 'nbil', 'cak', 'yantie', 'nakula', 'delegasi', 'negara', 'anggota', 'mengusulkan', 'mempertimbangkan', 'aspek', 'teknis', 'teknologi', 'informasi', 'komunikasi', 'isu']","['wisnu', 'nbil', 'cak', 'yantie', 'nakula', 'delegasi', 'negara', 'anggota', 'usul', 'timbang', 'aspek', 'teknis', 'teknologi', 'informasi', 'komunikasi', 'isu']"
